id,¾­¶È,Î³¶È,need
1,113.5401,22.1932,0
2,114.15959,22.2835,0
3,113.2508,23.1521,95264.51282
4,113.99477,22.67833,64569.11111
5,113.55373,22.21778,36610.85
6,113.06853,23.15887,12077.9
7,114.50417,22.88458,64529
8,113.61808,22.87014,5357.125
9,113.31461,22.60868,449
10,112.97434,22.60128,38
11,112.42813,23.07622,64918
12,112.968589,23.450676,346
13,113.007634,23.458964,0
14,113.002205,23.470865,0
15,113.00225,23.470864,0
16,113.00208,23.470869,0
17,113.004711,23.470366,0
18,113.003387,23.472934,0
19,113.000397,23.468682,0
20,113.001118,23.468277,0
21,113.004357,23.473436,0
22,113.002174,23.472238,0
23,113.002121,23.472727,0
24,113.002905,23.473784,0
25,113.002164,23.472238,0
26,113.002921,23.473764,0
27,113.001219,22.492395,271
28,113.001179,22.492355,271
29,112.450987,23.025704,144239
30,112.450994,23.025774,144239
31,112.451869,23.026378,144239
32,112.442858,23.020654,6391
33,112.449258,23.029694,144239
34,114.213996,22.659457,32013.66667
35,114.210556,22.657049,32013.66667
36,114.215939,22.65801,7717.75
37,114.210846,22.657666,32013.66667
38,114.214432,22.655814,32013.66667
39,114.209369,22.658271,32013.66667
40,114.20907,22.658612,32013.66667
41,114.212684,22.656719,32013.66667
42,114.210707,22.656872,32013.66667
43,114.20962,22.658744,32013.66667
44,113.222023,22.62817,6772.636364
45,113.223372,22.629054,6772.636364
46,113.223585,22.632674,6772.636364
47,113.221996,22.633528,6772.636364
48,113.222659,22.632948,6772.636364
49,113.222634,22.632957,6772.636364
50,113.222035,22.633385,6772.636364
51,113.222643,22.632762,6772.636364
52,113.222715,22.632757,6772.636364
53,113.222126,22.633333,6772.636364
54,113.222725,22.632707,6772.636364
55,113.222701,22.632864,6772.636364
56,113.222678,22.63351,6772.636364
57,113.222887,22.633382,6772.636364
58,113.222869,22.633341,6772.636364
59,113.222701,22.63359,6772.636364
60,113.222229,22.63341,6772.636364
61,113.222984,22.633166,6772.636364
62,113.221981,22.633923,6772.636364
63,113.222708,22.632741,6772.636364
64,113.319524,22.220325,9954.083333
65,113.31765,22.220047,9954.083333
66,113.322896,22.21725,9954.083333
67,113.322929,22.220592,9954.083333
68,113.319508,22.215441,9954.083333
69,113.317595,22.220105,9954.083333
70,113.31738,22.220081,9954.083333
71,113.31822,22.220963,9954.083333
72,113.319528,22.215434,9954.083333
73,113.317324,22.223856,9954.083333
74,113.317504,22.223783,9954.083333
75,113.318797,22.221729,9954.083333
76,113.323623,22.221265,9954.083333
77,113.323264,22.221161,9954.083333
78,113.32439,22.223734,9954.083333
79,113.315034,22.222469,9954.083333
80,113.589511,22.250418,5434.444444
81,113.58958,22.250448,5434.444444
82,113.589576,22.250446,5434.444444
83,113.589566,22.250135,5434.444444
84,113.589122,22.250354,5434.444444
85,113.591532,22.24905,5434.444444
86,113.589534,22.250428,5434.444444
87,113.588432,22.252336,5434.444444
88,113.588329,22.25233,5434.444444
89,113.591292,22.245486,5434.444444
90,113.585954,22.251855,5434.444444
91,113.591329,22.245457,5434.444444
92,113.585888,22.252266,5434.444444
93,113.585899,22.252338,5434.444444
94,113.585579,22.253155,5434.444444
95,113.690722,22.80994,10704.35714
96,113.691932,22.807845,10704.35714
97,113.691079,22.809056,10704.35714
98,113.692066,22.809131,10704.35714
99,113.696445,22.807938,10770.77778
100,113.6978,22.809192,10770.77778
101,113.69158,22.809959,10704.35714
102,113.689988,22.809923,10704.35714
103,113.69012,22.809576,10704.35714
104,113.688866,22.810216,10704.35714
105,113.690119,22.809582,10704.35714
106,113.690026,22.809882,10704.35714
107,113.69027,22.80942,10704.35714
108,113.696272,22.80748,10770.77778
109,113.688841,22.810215,10704.35714
110,113.697287,22.812672,10770.77778
111,113.689776,22.807451,10704.35714
112,113.697501,22.804746,9603.846154
113,113.691548,22.807952,10704.35714
114,113.696648,22.812649,10770.77778
115,113.224719,22.786439,0
116,113.224465,22.786489,0
117,114.135448,23.030317,5266.666667
118,114.129522,23.030871,5266.666667
119,114.130044,23.030517,5266.666667
120,114.129543,23.030846,5266.666667
121,114.13759,23.028893,2
122,114.136344,23.02927,2
123,114.129265,23.031569,5266.666667
124,114.13663,23.027723,2
125,114.128819,23.0274,5266.666667
126,114.138127,23.027096,2
127,113.673144,22.977939,64575.5
128,113.674602,22.977565,64575.5
129,113.677351,22.977051,3019
130,113.673615,22.983545,64575.5
131,113.677407,22.975766,3019
132,113.895892,23.12398,0
133,113.834186,22.689511,22866.85714
134,113.834105,22.689348,22866.85714
135,113.834144,22.690075,22866.85714
136,113.83128,22.693,22866.85714
137,113.834797,22.693386,22866.85714
138,113.836556,22.693166,33376.16667
139,113.831712,22.692854,22866.85714
140,113.830606,22.689127,22866.85714
141,113.830425,22.692749,22866.85714
142,113.837124,22.692488,33376.16667
143,113.835688,22.69309,33376.16667
144,113.830445,22.692747,22866.85714
145,113.834817,22.692046,22866.85714
146,113.83841,22.687987,33376.16667
147,113.837775,22.691044,33376.16667
148,113.838416,22.687308,33376.16667
149,113.834999,22.693281,33376.16667
150,113.834376,22.689165,22866.85714
151,113.8384,22.688018,33376.16667
152,113.834283,22.6887,22866.85714
153,113.205866,23.189115,0
154,113.20492,23.19226,0
155,113.172053,22.228893,387
156,113.252118,22.938152,92618
157,113.804821,23.263928,0
158,113.971115,22.732871,693.5
159,113.971022,22.732898,693.5
160,113.172114,22.685903,8512.166667
161,113.167089,22.693624,8512.166667
162,113.172684,22.693469,8512.166667
163,113.165391,22.693954,8512.166667
164,113.165368,22.694,8512.166667
165,113.166327,22.690749,8512.166667
166,113.166773,22.690993,8512.166667
167,113.166668,22.690935,8512.166667
168,113.16687,22.691046,8512.166667
169,114.190582,22.45613,0
170,113.516784,22.220962,25942.5
171,113.521658,22.216599,25942.5
172,113.5237,22.21721,25942.5
173,113.517774,22.223376,25942.5
174,113.516252,22.216005,25942.5
175,114.461303,23.091621,584
176,114.465858,23.091912,13629
177,114.466645,23.093061,13629
178,114.462192,23.084496,31636.5
179,114.462152,23.084577,31636.5
180,114.465782,23.092024,13629
181,114.458714,23.093914,584
182,113.48008,22.16745,1508
183,113.47985,22.166472,1508
