epoch,SPTC,MSTC,not_reached,loss
0,32096.8848,5420.5186,0.0000,37517.4023
1,32091.7715,5415.2109,0.0000,37506.9844
2,32086.6895,5409.9346,0.0000,37496.6250
3,32081.6523,5404.6919,0.0000,37486.3438
4,32076.6582,5399.4824,0.0000,37476.1406
5,32071.6934,5394.3052,0.0000,37466.0000
6,32066.7676,5389.1636,0.0000,37455.9297
7,32061.8926,5384.0562,0.0000,37445.9492
8,32057.0371,5378.9844,0.0000,37436.0234
9,32052.2324,5373.9478,0.0000,37426.1797
10,32047.4570,5368.9468,0.0000,37416.4023
11,32042.7207,5363.9805,0.0000,37406.7031
12,32038.0215,5359.0474,0.0000,37397.0703
13,32033.3516,5354.1460,0.0000,37387.4961
14,32028.7148,5349.2773,0.0000,37377.9922
15,32024.1172,5344.4395,0.0000,37368.5547
16,32019.5469,5339.6318,0.0000,37359.1797
17,32015.0195,5334.8530,0.0000,37349.8711
18,32010.5156,5330.1025,0.0000,37340.6172
19,32006.0449,5325.3794,0.0000,37331.4258
20,32001.6074,5320.6841,0.0000,37322.2930
21,31997.1992,5316.0146,0.0000,37313.2148
22,31992.8242,5311.3716,0.0000,37304.1953
23,31988.4766,5306.7544,0.0000,37295.2305
24,31984.1641,5302.1626,0.0000,37286.3281
25,31979.8809,5297.5942,0.0000,37277.4766
26,31975.6211,5293.0513,0.0000,37268.6719
27,31971.3965,5288.5303,0.0000,37259.9258
28,31967.1953,5284.0342,0.0000,37251.2305
29,31963.0332,5279.5596,0.0000,37242.5938
30,31958.8926,5275.1084,0.0000,37234.0000
31,31954.7852,5270.6782,0.0000,37225.4648
32,31950.6953,5266.2690,0.0000,37216.9648
33,31946.6406,5261.8813,0.0000,37208.5234
34,31942.6172,5257.5132,0.0000,37200.1289
35,31938.6172,5253.1650,0.0000,37191.7812
36,31934.6523,5248.8354,0.0000,37183.4883
37,31930.7070,5244.5244,0.0000,37175.2305
38,31926.7969,5240.2305,0.0000,37167.0273
39,31922.9023,5235.9541,0.0000,37158.8555
40,31919.0430,5231.6934,0.0000,37150.7344
41,31915.2012,5227.4487,0.0000,37142.6484
42,31911.3926,5223.2188,0.0000,37134.6094
43,31907.6113,5219.0039,0.0000,37126.6172
44,31903.8516,5214.8022,0.0000,37118.6523
45,31900.1113,5210.6138,0.0000,37110.7266
46,31896.4023,5206.4375,0.0000,37102.8398
47,31892.7188,5202.2734,0.0000,37094.9922
48,31889.0664,5198.1206,0.0000,37087.1875
49,31885.4336,5193.9785,0.0000,37079.4141
50,31881.8223,5189.8457,0.0000,37071.6680
51,31878.2383,5185.7227,0.0000,37063.9609
52,31874.6836,5181.6089,0.0000,37056.2930
53,31871.1387,5177.5034,0.0000,37048.6406
54,31867.6270,5173.4058,0.0000,37041.0312
55,31864.1367,5169.3169,0.0000,37033.4531
56,31860.6660,5165.2349,0.0000,37025.9023
57,31857.2266,5161.1611,0.0000,37018.3867
58,31853.8086,5157.0942,0.0000,37010.9023
59,31850.4023,5153.0347,0.0000,37003.4375
60,31847.0234,5148.9834,0.0000,36996.0078
61,31843.6621,5144.9399,0.0000,36988.6016
62,31840.3262,5140.9053,0.0000,36981.2305
63,31837.0098,5136.8809,0.0000,36973.8906
64,31833.7109,5132.8667,0.0000,36966.5781
65,31830.4355,5128.8633,0.0000,36959.2969
66,31827.1777,5124.8740,0.0000,36952.0508
67,31823.9395,5120.8975,0.0000,36944.8359
68,31820.7129,5116.9385,0.0000,36937.6523
69,31817.5098,5112.9961,0.0000,36930.5078
70,31814.3164,5109.0742,0.0000,36923.3906
71,31811.1504,5105.1738,0.0000,36916.3242
72,31808.0000,5101.2954,0.0000,36909.2969
73,31804.8574,5097.4438,0.0000,36902.3008
74,31801.7344,5093.6196,0.0000,36895.3555
75,31798.6230,5089.8252,0.0000,36888.4492
76,31795.5215,5086.0625,0.0000,36881.5859
77,31792.4453,5082.3320,0.0000,36874.7773
78,31789.3750,5078.6362,0.0000,36868.0117
79,31786.3203,5074.9775,0.0000,36861.2969
80,31783.2871,5071.3550,0.0000,36854.6406
81,31780.2559,5067.7705,0.0000,36848.0273
82,31777.2441,5064.2251,0.0000,36841.4688
83,31774.2441,5060.7188,0.0000,36834.9609
84,31771.2559,5057.2515,0.0000,36828.5078
85,31768.2852,5053.8247,0.0000,36822.1094
86,31765.3203,5050.4365,0.0000,36815.7578
87,31762.3789,5047.0869,0.0000,36809.4648
88,31759.4512,5043.7764,0.0000,36803.2266
89,31756.5332,5040.5029,0.0000,36797.0352
90,31753.6250,5037.2666,0.0000,36790.8906
91,31750.7383,5034.0669,0.0000,36784.8047
92,31747.8633,5030.9019,0.0000,36778.7656
93,31745.0000,5027.7720,0.0000,36772.7734
94,31742.1543,5024.6748,0.0000,36766.8281
95,31739.3164,5021.6099,0.0000,36760.9258
96,31736.5020,5018.5767,0.0000,36755.0781
97,31733.7051,5015.5737,0.0000,36749.2773
98,31730.9121,5012.6001,0.0000,36743.5117
99,31728.1445,5009.6548,0.0000,36737.8008
100,31725.3828,5006.7368,0.0000,36732.1211
101,31722.6387,5003.8457,0.0000,36726.4844
102,31719.9121,5000.9805,0.0000,36720.8906
103,31717.1973,4998.1387,0.0000,36715.3359
104,31714.4980,4995.3223,0.0000,36709.8203
105,31711.8086,4992.5283,0.0000,36704.3359
106,31709.1406,4989.7573,0.0000,36698.8984
107,31706.4883,4987.0083,0.0000,36693.4961
108,31703.8438,4984.2793,0.0000,36688.1250
109,31701.2207,4981.5708,0.0000,36682.7930
110,31698.6074,4978.8818,0.0000,36677.4883
111,31696.0039,4976.2119,0.0000,36672.2148
112,31693.4160,4973.5601,0.0000,36666.9766
113,31690.8359,4970.9263,0.0000,36661.7617
114,31688.2734,4968.3076,0.0000,36656.5820
115,31685.7168,4965.7056,0.0000,36651.4219
116,31683.1758,4963.1182,0.0000,36646.2930
117,31680.6328,4960.5449,0.0000,36641.1797
118,31678.1016,4957.9844,0.0000,36636.0859
119,31675.5840,4955.4380,0.0000,36631.0234
120,31673.0664,4952.9028,0.0000,36625.9688
121,31670.5684,4950.3809,0.0000,36620.9492
