epoch,SPTC,MSTC,loss
0,2329099.7500,510306.6250,2839406.5000
1,1701205.0000,438483.2812,2139688.2500
2,1259475.3750,376725.3750,1636200.7500
3,948840.1250,323914.6562,1272754.7500
4,728641.0625,278931.4062,1007572.5000
5,570454.5625,240697.1875,811151.7500
6,455000.2812,208225.8594,663226.1250
7,369343.0000,180654.2500,549997.2500
8,304781.3750,157243.7500,462025.1250
9,255400.3594,137368.0625,392768.4375
10,217120.2812,120496.1562,337616.4375
11,187081.2812,106176.8984,293258.1875
12,163246.1094,94024.3438,257270.4531
13,144140.5469,83707.4375,227847.9844
14,128682.9766,74941.5625,203624.5312
15,116067.4531,67483.4531,183550.9062
16,105687.3047,61125.4648,166812.7656
17,97080.2188,55691.7734,152772.0000
18,89890.6797,51033.9688,140924.6562
19,83842.9688,47027.4766,130870.4453
20,78721.6250,43568.1328,122289.7578
21,74356.7812,40569.1328,114925.9141
22,70613.7188,37958.3984,108572.1172
23,67384.9688,35675.9297,103060.8984
24,64584.2344,33671.8750,98256.1094
25,62141.7383,31904.7637,94046.5000
26,60000.6875,30339.9551,90340.6406
27,58114.6250,28948.4766,87063.1016
28,56445.2891,27706.1191,84151.4062
29,54961.0234,26592.4941,81553.5156
30,53635.5820,25590.4180,79226.0000
31,52446.9141,24685.3516,77132.2656
32,51376.6367,23864.8906,75241.5312
33,50409.1445,23118.4570,73527.6016
34,49531.3516,22437.0215,71968.3750
35,48732.0312,21812.7969,70544.8281
36,48001.5664,21239.0859,69240.6562
37,47331.8164,20710.1055,68041.9219
38,46715.6914,20220.8418,66936.5312
39,46147.1172,19766.9062,65914.0234
40,45620.7969,19344.4570,64965.2539
41,45132.1445,18950.1367,64082.2812
42,44677.1367,18580.9668,63258.1016
43,44252.2656,18234.3535,62486.6172
44,43854.4492,17907.9648,61762.4141
45,43480.9727,17599.7617,61080.7344
46,43129.4023,17307.9062,60437.3086
47,42797.6797,17030.7656,59828.4453
48,42483.8984,16766.9141,59250.8125
49,42186.3906,16515.0488,58701.4375
50,41903.7031,16274.0332,58177.7344
51,41634.5703,16042.8330,57677.4023
52,41377.8203,15820.5195,57198.3398
53,41132.4414,15606.2725,56738.7148
54,40897.5312,15399.3516,56296.8828
55,40672.2969,15199.1172,55871.4141
56,40456.0664,15005.0010,55461.0664
57,40248.2344,14816.5156,55064.7500
58,40048.2539,14633.2285,54681.4844
59,39855.5977,14454.8076,54310.4062
60,39669.8281,14280.9551,53950.7812
